id,type,url,street,city,postalCode,raoSocial,latitude,longitude,minutsLatitude,minutsLongitude,RENTADOR,CANVI,SUPER,LAVABO,PARKING,VENDING
42321,BOTIGA,https://www.bonarea.com/botiga/42321,RAMON TURRO 220,BARCELONA,,,41.401155,2.204696,41° 24' 04'',2° 12' 16'',,,,,,
42323,BOTIGA,https://www.bonarea.com/botiga/42323,ALTS FORNS 63,BARCELONA,,,41.3586,2.140686,41° 21' 30'',2° 08' 26'',,,,,,
42327,BOTIGA,https://www.bonarea.com/botiga/42327,ARNUS 17,BADALONA,,,41.449439528568355,2.246030867099762,41° 26' 57'',2° 14' 45'',,,,,,
42328,BOTIGA,https://www.bonarea.com/botiga/42328,PS DEL DOCTOR MORAGAS 199,BARBERA DEL VALLES,,,41.516637,2.12365,41° 30' 59'',2° 07' 25'',,,,,,
42330,BOTIGA,https://www.bonarea.com/botiga/42330,SAGUNT 87,BADALONA,,,41.445055,2.241943,41° 26' 42'',2° 14' 30'',,,,,,
42333,BOTIGA,https://www.bonarea.com/botiga/42333,AV. VERGE DE MONTSERRAT 212,"PRAT DE LLOBREGAT, EL",,,41.32385978495817,2.0887836813926697,41° 19' 25'',2° 05' 19'',,,,,,
42335,BOTIGA,https://www.bonarea.com/botiga/42335,PASAJE AMETLLERS 6,ESPLUGUES DE LLOBREGAT,,,41.371115,2.084438,41° 22' 16'',2° 05' 03'',,,,,,
42339,BOTIGA,https://www.bonarea.com/botiga/42339,MARE DE DEU DELS DESAMPARATS 13,BARCELONA,,,41.401622,2.159308,41° 24' 05'',2° 09' 33'',,,,,,
42348,BOTIGA,https://www.bonarea.com/botiga/42348,CONSELL DE CENT 463,BARCELONA,,,41.398696,2.175808,41° 23' 55'',2° 10' 32'',,,,,,
42349,BOTIGA,https://www.bonarea.com/botiga/42349,LA MINA 25,"HOSPITALET DE LLOBREGAT, L'",,,41.371770651407516,2.101111114025116,41° 22' 18'',2° 06' 04'',,,,,,
42351,BOTIGA,https://www.bonarea.com/botiga/42351,DELICIAS 14,ZARAGOZA,,,41.651927926393384,-0.9055352210998535,41° 39' 06'',-0° 54' 19'',,,,,,
42352,BOTIGA,https://www.bonarea.com/botiga/42352,AVDA. FRANCESC MACIA 12,VILANOVA I LA GELTRU,,,41.22365756400029,1.7240756750106812,41° 13' 25'',1° 43' 26'',,,,,,
42357,BOTIGA,https://www.bonarea.com/botiga/42357,AV DR PASTEUR 16,IGUALADA,,,41.587111656285735,1.6126137971878052,41° 35' 13'',1° 36' 45'',,,,,,
42358,BOTIGA,https://www.bonarea.com/botiga/42358,SANT PERE MES BAIX 30,BARCELONA,,,41.38699189111202,2.177216112613678,41° 23' 13'',2° 10' 37'',,,,,,
42363,BOTIGA,https://www.bonarea.com/botiga/42363,NOU   47,RIPOLLET,,,41.49800120897458,2.156893014907837,41° 29' 52'',2° 09' 24'',,,,,,
42365,BOTIGA,https://www.bonarea.com/botiga/42365,CABANYAL 4,BARCELONA,,,41.407860711077916,2.189554274082184,41° 24' 28'',2° 11' 22'',,,,,,
42367,BOTIGA,https://www.bonarea.com/botiga/42367,DE PIERA 45,MARTORELL,,,41.47768786566956,1.9192036986351013,41° 28' 39'',1° 55' 09'',,,,,,
42374,BOTIGA,https://www.bonarea.com/botiga/42374,ROCAFORT 56,BARCELONA,,,41.37801615797651,2.155012786388397,41° 22' 40'',2° 09' 18'',,,,,,
42376,BOTIGA,https://www.bonarea.com/botiga/42376,MIQUEL BIADA 121,MATARO,,,41.536962487291795,2.433275878429413,41° 32' 13'',2° 25' 59'',,,,,,
